eventid,date,1st,2nd,3rd,4th,5th,joker
2227,31/12/2020,18,7.0,11.0,3.0,40.0,4
2226,29/12/2020,26,43.0,21.0,14.0,45.0,5
2225,27/12/2020,17,32.0,29.0,12.0,30.0,3
2224,24/12/2020,20,10.0,28.0,4.0,1.0,12
2223,22/12/2020,21,17.0,24.0,42.0,23.0,20
2222,20/12/2020,2,40.0,23.0,13.0,33.0,14
2221,17/12/2020,36,40.0,35.0,34.0,37.0,16
2220,15/12/2020,1,40.0,30.0,4.0,19.0,1
2219,13/12/2020,23,41.0,29.0,3.0,36.0,19
2218,10/12/2020,14,15.0,17.0,44.0,27.0,19
2217,08/12/2020,5,21.0,17.0,20.0,3.0,17
2216,06/12/2020,33,34.0,17.0,16.0,21.0,1
2215,03/12/2020,29,16.0,4.0,10.0,41.0,16
2214,01/12/2020,24,28.0,5.0,18.0,9.0,12
2213,29/11/2020,45,24.0,4.0,23.0,29.0,18
2212,26/11/2020,13,35.0,29.0,24.0,25.0,15
2211,24/11/2020,44,2.0,10.0,9.0,13.0,18
2210,22/11/2020,11,1.0,38.0,32.0,17.0,14
2209,19/11/2020,27,40.0,25.0,26.0,21.0,7
2208,17/11/2020,19,44.0,1.0,28.0,40.0,14
2207,15/11/2020,23,26.0,32.0,19.0,42.0,10
2206,12/11/2020,12,36.0,16.0,30.0,13.0,5
2205,10/11/2020,17,14.0,31.0,30.0,20.0,16
2204,08/11/2020,12,27.0,25.0,31.0,42.0,4
2203,05/11/2020,29,45.0,38.0,9.0,27.0,13
2202,03/11/2020,31,32.0,35.0,12.0,9.0,10
2201,01/11/2020,22,30.0,26.0,4.0,6.0,2
2200,29/10/2020,31,35.0,26.0,24.0,9.0,4
2199,27/10/2020,30,17.0,37.0,8.0,6.0,8
2198,25/10/2020,42,29.0,34.0,20.0,10.0,4
2197,22/10/2020,43,34.0,11.0,20.0,17.0,10
2196,20/10/2020,17,19.0,23.0,22.0,38.0,14
2195,18/10/2020,15,31.0,29.0,37.0,44.0,15
2194,15/10/2020,33,36.0,37.0,2.0,31.0,18
2193,13/10/2020,27,17.0,11.0,35.0,38.0,20
2192,11/10/2020,43,42.0,14.0,45.0,5.0,10
2191,08/10/2020,19,43.0,21.0,29.0,31.0,18
2190,06/10/2020,45,11.0,3.0,4.0,7.0,4
2189,04/10/2020,24,32.0,2.0,36.0,16.0,16
2188,01/10/2020,41,44.0,30.0,11.0,5.0,20
2187,29/9/2020,6,12.0,10.0,31.0,29.0,18
2186,27/9/2020,20,34.0,10.0,23.0,32.0,19
2185,24/9/2020,8,33.0,38.0,42.0,29.0,14
2184,22/9/2020,21,27.0,26.0,30.0,20.0,6
2183,20/9/2020,31,14.0,44.0,45.0,27.0,9
2182,17/9/2020,19,42.0,38.0,14.0,37.0,5
2181,15/9/2020,8,6.0,7.0,17.0,19.0,15
2180,13/9/2020,1,8.0,26.0,20.0,21.0,7
2179,10/9/2020,34,29.0,16.0,14.0,18.0,20
2178,08/9/2020,23,11.0,15.0,19.0,1.0,15
2177,06/9/2020,35,3.0,7.0,38.0,30.0,4
2176,03/9/2020,5,11.0,41.0,9.0,22.0,4
2175,01/9/2020,34,11.0,12.0,27.0,14.0,8
2174,30/8/2020,6,22.0,40.0,16.0,38.0,8
2173,27/8/2020,10,36.0,4.0,7.0,29.0,16
2172,25/8/2020,11,18.0,26.0,4.0,1.0,20
2171,23/8/2020,34,4.0,20.0,26.0,7.0,16
2170,20/8/2020,5,25.0,38.0,41.0,23.0,11
2169,18/8/2020,1,33.0,13.0,3.0,27.0,11
2168,16/8/2020,18,29.0,4.0,35.0,27.0,20
2167,13/8/2020,28,5.0,14.0,22.0,2.0,10
2166,11/8/2020,4,24.0,37.0,43.0,39.0,20
2165,09/8/2020,29,43.0,14.0,26.0,21.0,1
2164,06/8/2020,43,16.0,4.0,1.0,45.0,13
2163,04/8/2020,33,45.0,10.0,15.0,21.0,9
2162,02/8/2020,41,26.0,31.0,10.0,18.0,1
2161,30/7/2020,16,39.0,13.0,30.0,45.0,6
2160,28/7/2020,42,44.0,21.0,20.0,35.0,8
2159,26/7/2020,35,29.0,10.0,13.0,25.0,7
2158,23/7/2020,12,36.0,15.0,40.0,10.0,11
2157,21/7/2020,32,22.0,45.0,8.0,42.0,17
2156,19/7/2020,30,43.0,9.0,40.0,8.0,2
2155,16/7/2020,23,12.0,24.0,21.0,27.0,8
2154,14/7/2020,11,19.0,16.0,30.0,41.0,6
2153,12/7/2020,32,27.0,17.0,40.0,3.0,16
2152,09/7/2020,5,37.0,29.0,28.0,39.0,12
2151,07/7/2020,32,41.0,23.0,44.0,7.0,12
2150,05/7/2020,33,13.0,28.0,42.0,35.0,19
2149,02/7/2020,15,17.0,26.0,45.0,11.0,7
2148,30/6/2020,9,20.0,43.0,22.0,45.0,2
2147,28/6/2020,23,33.0,1.0,11.0,26.0,4
2146,25/6/2020,34,6.0,4.0,32.0,33.0,5
2145,23/6/2020,29,44.0,33.0,3.0,11.0,7
2144,21/6/2020,15,2.0,26.0,21.0,37.0,7
2143,18/6/2020,34,18.0,16.0,37.0,13.0,13
2142,16/6/2020,3,22.0,18.0,34.0,1.0,18
2141,14/6/2020,10,5.0,35.0,21.0,17.0,18
2140,11/6/2020,1,17.0,36.0,11.0,16.0,7
2139,09/6/2020,2,39.0,9.0,32.0,28.0,5
2138,07/6/2020,5,32.0,30.0,9.0,4.0,4
2137,04/6/2020,44,23.0,28.0,45.0,42.0,11
2136,02/6/2020,35,8.0,4.0,20.0,19.0,9
2135,31/5/2020,37,14.0,27.0,45.0,36.0,3
2134,28/5/2020,15,19.0,36.0,26.0,21.0,2
2133,26/5/2020,10,25.0,14.0,45.0,11.0,1
2132,24/5/2020,25,11.0,45.0,37.0,22.0,3
2131,21/5/2020,27,9.0,31.0,34.0,4.0,13
2130,19/5/2020,34,26.0,37.0,13.0,35.0,12
2129,17/5/2020,23,42.0,1.0,33.0,34.0,8
2128,14/5/2020,35,5.0,24.0,43.0,11.0,16
2127,12/5/2020,41,32.0,33.0,15.0,24.0,18
2126,10/5/2020,24,8.0,14.0,36.0,17.0,10
2125,07/5/2020,31,8.0,28.0,34.0,43.0,6
2124,05/5/2020,10,19.0,7.0,18.0,14.0,13
2123,03/5/2020,41,8.0,3.0,14.0,17.0,15
2122,30/4/2020,18,33.0,28.0,19.0,40.0,8
2121,28/4/2020,30,36.0,23.0,4.0,24.0,7
2120,26/4/2020,2,8.0,20.0,29.0,38.0,10
2119,23/4/2020,36,28.0,1.0,24.0,15.0,13
2118,21/4/2020,27,33.0,31.0,42.0,36.0,2
2117,19/4/2020,33,11.0,17.0,29.0,31.0,1
2116,16/4/2020,40,30.0,36.0,10.0,1.0,14
2115,14/4/2020,17,13.0,37.0,10.0,36.0,13
2114,12/4/2020,19,13.0,42.0,30.0,2.0,2
2113,09/4/2020,18,19.0,4.0,27.0,42.0,17
2112,07/4/2020,30,21.0,35.0,6.0,27.0,7
2111,05/4/2020,42,37.0,31.0,34.0,33.0,13
2110,02/4/2020,9,25.0,2.0,12.0,14.0,14
2109,31/3/2020,3,35.0,17.0,12.0,32.0,1
2108,29/3/2020,23,21.0,32.0,41.0,31.0,7
2107,26/3/2020,45,19.0,20.0,34.0,28.0,7
2106,22/3/2020,42,45.0,25.0,7.0,4.0,11
2105,15/3/2020,25,15.0,5.0,34.0,40.0,10
2104,12/3/2020,24,34.0,12.0,3.0,45.0,20
2103,08/3/2020,24,37.0,19.0,36.0,23.0,10
2102,05/3/2020,18,27.0,16.0,37.0,30.0,11
2101,01/3/2020,15,32.0,40.0,4.0,27.0,19
2100,27/2/2020,31,26.0,45.0,12.0,37.0,9
2099,23/2/2020,37,32.0,10.0,15.0,24.0,2
2098,20/2/2020,14,27.0,10.0,17.0,44.0,1
2097,16/2/2020,13,22.0,12.0,43.0,1.0,18
2096,13/2/2020,35,4.0,22.0,41.0,2.0,19
2095,09/2/2020,1,9.0,35.0,37.0,11.0,1
2094,06/2/2020,33,31.0,45.0,4.0,13.0,6
2093,02/2/2020,42,8.0,27.0,26.0,18.0,12
2092,30/1/2020,25,19.0,14.0,23.0,22.0,18
2091,26/1/2020,33,23.0,29.0,20.0,35.0,1
2090,23/1/2020,3,25.0,12.0,8.0,31.0,5
2089,19/1/2020,23,9.0,11.0,4.0,40.0,10
2088,16/1/2020,40,44.0,26.0,22.0,41.0,18
2087,12/1/2020,14,28.0,18.0,24.0,7.0,2
2086,09/1/2020,34,30.0,29.0,45.0,33.0,4
2085,05/1/2020,39,20.0,36.0,11.0,29.0,13
2084,02/1/2020,3,30.0,6.0,40.0,43.0,18
2083,29/12/2019,15,17.0,18.0,8.0,44.0,8
2082,26/12/2019,27,45.0,5.0,9.0,11.0,6
2081,22/12/2019,36,9.0,34.0,43.0,24.0,14
2080,19/12/2019,10,35.0,32.0,24.0,40.0,13
2079,15/12/2019,10,32.0,7.0,28.0,12.0,5
